"family","n_train","auc_K1","auc_K2","auc_K3","auc_K4","auc_K5","auc_VT","oracle_optimal_method"
"additive",1000,0.727547649834842,0.71855070898474,0.748047154310561,0.731118824822416,0.7657225204035,0.749146708188701,5
"additive",200,0.805169193897036,0.765148127808937,0.744236084228342,0.735248986957231,0.758992848933342,0.764952071148562,1
"additive",200,0.604432939329874,0.614378123198155,0.60057398776347,0.549783478281761,0.687166158145941,0.63511936222692,5
"additive",500,0.675044384986622,0.593041434322723,0.623391263034183,0.6003535795554,0.549780200545123,0.659736440699157,1
"additive",200,0.632937531750127,0.755433521734087,0.671112184448738,0.680408221632887,0.667624170496682,0.738619954479818,2
"additive",200,0.551264882143029,0.581009165319806,0.647538745579363,0.729389532092621,0.636559664591701,0.453869357187435,4
"additive",200,0.571100983948214,0.545938250974298,0.624920621110434,0.507495867297498,0.682145425125831,0.549153908541519,5
"additive",200,0.483456876148828,0.59188822278554,0.559577872020055,0.633372678816712,0.632658853634802,0.559711025945994,4
"additive",200,0.56324410715143,0.533711354435039,0.518737198156535,0.52506460930374,0.548070422140788,0.594647629258613,6
"additive",300,0.497897288838371,0.633861604284068,0.521877601498463,0.597713783139088,0.627920182024846,0.619972103931865,2
"additive",1000,0.703060949986549,0.791283772904872,0.792312823328343,0.818753118902826,0.801859791129765,0.723472450150057,4
"additive",1000,0.786483093237295,0.737718087234894,0.791356042416967,0.713490896358543,0.710509203681473,0.760863345338135,3
"additive",1000,0.907105995636801,0.911054941197121,0.890994257629329,0.887290052408536,0.87573961232729,0.874487324155571,2
"additive",200,0.525660410566569,0.539478631658106,0.59078295252724,0.616595365525848,0.718301492823885,0.716265460247364,5
"additive",1000,0.794265926592659,0.795742574257426,0.792482248224822,0.796285628562856,0.798397839783978,0.793731373137314,5
"additive",1000,0.683668499756488,0.682868960579068,0.71913773774915,0.710492814147893,0.716156591672992,0.737985161272902,6
"additive",1000,0.836129641466384,0.816923090773233,0.851138979164979,0.830923636931073,0.847591453930186,0.828040303647754,3
"additive",1000,0.755108173076923,0.791560997596154,0.74884765625,0.72634765625,0.75548828125,0.779705528846154,2
"bump",500,0.58971708971709,0.561089061089061,0.581830581830582,0.638774138774139,0.679413679413679,0.700644700644701,6
"bump",1000,0.90955055561723,0.763451877677199,0.748852111105444,0.727256498036262,0.917103969580319,0.718626953861417,5
"bump",1000,0.844242924292429,0.845353535353535,0.845353535353535,0.845353535353535,0.845273527352735,0.682955295529553,2
"bump",200,0.878885738185195,0.838880194992316,0.838880194992316,0.838880194992316,0.838880194992316,0.92131567783043,6
"bump",200,0.553429249195581,0.571822194350835,0.613366478468018,0.564236813739436,0.592526216245457,0.7881312635489,6
"bump",300,0.90073084838875,0.805424254436543,0.917219733006599,0.887864673425588,0.942924554744058,0.882606789352297,5
"bump",1000,0.98294357358934,0.981822545563639,0.981822545563639,0.981822545563639,0.981822545563639,0.957886947173679,1
"bump",500,0.976304481829717,0.97515320356561,0.968130456188383,0.970172836837702,0.983950650639833,0.929765521492529,5
"bump",1000,0.933110125300646,0.931100652715914,0.931100652715914,0.931100652715914,0.927051192777304,0.923031747365725,1
"bump",300,0.985196985196985,0.984330484330484,0.984330484330484,0.984330484330484,0.984330484330484,0.896592896592897,1
"bump",1000,0.858126953173829,NA,NA,NA,NA,0.768786219655491,1
"bump",300,0.917033332499812,0.917500937710985,0.917500937710985,0.904080918206597,0.92317471431072,0.78818034057663,5
"bump",300,0.914122156488626,0.914277157108628,0.914277157108628,0.911324145296581,0.912010148040592,0.895331581326325,2
"bump",300,0.889908766576975,0.901039664616567,0.901039664616567,0.901039664616567,0.882675860080723,0.812454953872766,2
"bump",300,0.9132655,0.911611,0.911611,0.912735,0.912229,0.865513,1
"bump",300,0.818348230862155,0.826958472075015,0.826958472075015,0.826958472075015,0.826958472075015,0.789639086471723,2
"bump",500,0.725017006802721,0.725097539015606,0.725097539015606,0.725097539015606,0.726148459383753,0.779636854741897,6
"cross",300,0.505099770716786,0.464314509260626,0.470207634996815,0.488689658305039,0.471445929526124,0.44436759229914,1
"cross",1000,0.877600968363732,0.963695727292786,0.928805906768971,0.969091253502304,0.970751855752938,0.776974508636589,5
"cross",500,0.498924088463837,0.620858650172821,0.697657943293745,0.78419501546298,0.796131916110086,0.828344811455599,6
"cross",500,0.548565849944587,0.543043433323202,0.575060453397926,0.566297141114553,0.539978039273475,0.709707029990821,6
"cross",500,0.566966604361751,0.871052200949108,0.909550642309815,0.938489395459364,0.894948626395127,0.695514960802788,4
"cross",500,0.695204969406625,0.751498640983952,0.70641426615202,0.907734807772662,0.860653796350308,0.710470629118936,4
"cross",500,0.594259926535615,0.664645470587509,0.66288804291044,0.826041910896669,0.780810000370201,0.663614562895138,4
"cross",500,0.524583919010376,0.502619027595901,0.481789448602585,0.472451153533485,0.439183195774315,0.593870514314548,6
"cross",500,0.528783597060861,0.514831148584412,0.514831148584412,0.514831148584412,0.515299956493015,0.512864773844245,1
"cross",500,0.468323607394942,0.475988837366975,0.475988837366975,0.475988837366975,0.475988837366975,0.481808257765617,6
"cross",500,0.516192251367338,0.520035050422623,0.520035050422623,0.520035050422623,0.519533182973846,0.523008113189177,6
"cross",500,0.5072604094907,0.522693911309057,0.522693911309057,0.522693911309057,0.525432961117608,0.533884914849645,6
"cross",500,0.631900558754636,0.69838331218687,0.762335606578177,0.767759471175743,0.804243729260199,0.633367086342638,5
"cross",500,0.51838768115942,0.764437237026648,0.684105890603086,0.688793244506779,0.833261453950444,0.705372837774661,5
"cross",200,0.446554168444524,0.465137938786653,0.499069205676297,0.566761982758225,0.530784459462559,0.591040057992558,6
"cross",500,0.931890764166155,0.933694525491401,0.933694525491401,0.933694525491401,0.935469493819103,0.840339229499386,5
"cross",300,0.506961457782902,0.580290948103313,0.635428676082048,0.860659256857376,0.843745496469232,0.579083001072841,4
"cross",200,0.524993280670589,0.537304876973278,0.547650544475661,0.531742007147687,0.567673621172607,0.473239220725772,5
"cross",200,0.454519092483344,0.462021660649819,0.462021660649819,0.462021660649819,0.462021660649819,0.406698952188078,2
"cross",1000,0.535565035565036,0.578903078903079,0.918165918165918,0.972798972798973,0.958965458965459,0.622274622274622,4
"cross",200,0.516260125127524,0.565256626145671,0.593286891928988,0.582205075572272,0.566995362005318,0.60483322475837,6
"cross",1000,0.575522555819732,0.803368959938504,0.82976098964944,0.885089114928762,0.829879422227784,0.85143862064034,4
"cross",500,0.651537885318712,0.673618400165409,0.673618400165409,0.62033445602031,0.645308497885499,0.809073540328038,6
"cross",500,0.875275733929181,0.862158738209554,0.863599808542697,0.836015563331129,0.836154929625733,0.7240387438299,1
"cross",1000,0.661447995836762,0.513662136321828,0.577288167045876,0.664005139500734,0.649662241209598,0.688301786319407,6
"cross",1000,0.684639190821256,0.615345209339775,0.750824778582931,0.710646638486312,0.809029790660225,0.757106481481482,5
"cross",1000,0.495373703917051,0.53951652905786,0.558360235055044,0.522351930523554,0.543568288370456,0.611759152585766,6
"cross",1000,0.508754437866844,0.517554172928584,0.620790506513233,0.61888953423411,0.65141292016923,0.692276022986816,6
"cross",1000,0.485605867187304,0.553576631373432,0.523328076894195,0.605107757002328,0.589580736402093,0.568438336962779,4
"cross",200,0.534083816446021,0.588180323613394,0.588180323613394,0.588180323613394,0.588180323613394,0.605168584696144,6
"cross",500,0.514831328685615,0.51837789524758,0.587597231798565,0.513401772261804,0.571481396358436,0.764875507546158,6
"cross",500,0.840313904761905,0.83483326984127,0.824519619047619,0.804775619047619,0.820084317460318,0.708116317460317,1
"cross",500,0.758784405285248,0.753886973743635,0.753886973743635,0.753886973743635,0.753886973743635,0.582442169288712,1
"cross",500,0.644124822695035,0.606950354609929,0.638924049000645,0.633457640232108,0.604610186976144,0.671576015473888,6
"cross",500,0.802701270915597,0.902159339496154,0.902159339496154,0.86859467027477,0.779754325786793,0.689300152689868,2
"cross",500,0.493270501152546,0.514733492541403,0.514733492541403,0.514733492541403,0.515756305791583,0.488645268022738,5
"cross",1000,0.686790969452219,0.882165463619843,0.93985127469242,0.953792464350246,0.865966946947133,0.911202850533959,4
"enclave",300,0.670655850557956,0.750591196026752,0.816492240327725,0.767788460058745,0.795201488839347,0.845503165527706,6
"enclave",200,0.571149241538967,0.607621385415965,0.666426858272234,0.631134832939626,0.631707057299804,0.801834534217409,6
"enclave",300,0.757025618510043,0.726271277336886,0.666605519853167,0.717395967718492,0.663205857263289,0.723010949289243,1
"enclave",300,0.644165015836775,0.692838806762857,0.663199669528783,0.698314271208204,0.646078859304525,0.59113852828388,4
"enclave",300,0.617866761878187,0.615986534370659,0.615986534370659,0.615986534370659,0.615986534370659,0.725332765264597,6
"enclave",500,0.523500968381612,0.489061358307227,0.489061358307227,0.617515897640003,0.499263788759135,0.70322897727444,6
"enclave",500,0.690777030682123,0.678799903028943,0.752990274844826,0.731692705933266,0.874084885738443,0.760165932705292,5
"enclave",500,0.569635920119235,0.660081338165977,0.689675778423065,0.761945729846382,0.693989924317269,0.783424871301321,6
"enclave",500,0.766266247642992,0.8200769327467,0.870988812067882,0.923771715901949,0.880325329981144,0.805320930232558,4
"enclave",500,0.648890462038802,0.764572385812012,0.829526065781253,0.822861428411221,0.887153250612794,0.793068817187074,5
"enclave",500,0.681150615061506,0.866635663566357,0.924211421142114,0.915521052105211,0.897631763176318,0.747107710771077,3
"enclave",1000,0.503132024891909,0.512057269022556,0.512057269022556,0.500893576268538,0.554993007665522,0.752883085763286,6
"enclave",300,0.543679066503422,0.543614996731441,0.543614996731441,0.52767263550006,0.525311564293516,0.77570974791548,6
"enclave",500,0.767366072392968,0.840043986746369,0.727816062157511,0.672395950668185,0.672142893146976,0.740027630589511,2
"enclave",1000,0.913506421159063,0.91213005767667,0.91213005767667,0.911754082922584,0.912942203956866,0.964160474391375,6
"enclave",200,0.558590338339208,0.610083046623561,0.623576997455878,0.649725528958271,0.709610938423845,0.683712517220094,5
"enclave",1000,0.869954045029259,0.864976842181193,0.864976842181193,0.864976842181193,0.864807529121345,0.987377661295736,6
"enclave",1000,0.899651326640086,NA,NA,NA,NA,0.970442827176506,6
"enclave",1000,0.891013301936421,0.876721861770084,0.893355043964027,0.910576918259475,0.990428617951352,0.855363110298354,5
"enclave",1000,0.888316605432838,0.888688114028104,0.888688114028104,0.888688114028104,0.888728669548612,0.979805353528981,6
"enclave",1000,0.92092823184063,0.877339934039674,0.882018550214877,0.878765101719716,0.878236798170017,0.896899183658344,1
"enclave",500,0.850307732347438,0.753463339063132,0.834392368772702,0.816314186342918,0.826975520285235,0.858941005708196,6
"enclave",300,0.733369595750658,NA,NA,NA,NA,0.863377512193876,6
"linear",500,0.838502174704604,0.829924895666196,0.801957334176273,0.749096207171123,0.869560737679008,0.871163256895234,6
"linear",1000,0.947734044331283,0.950900707495003,0.946827782164801,0.949260828356648,0.943812246098969,0.851348984495961,2
"linear",200,0.725656217609323,0.729172919693131,0.716787425113755,0.717141596532722,0.709088198688165,0.645596468690846,2
"linear",200,0.611014111014111,0.605183605183605,0.645634645634646,0.67958717958718,0.628808128808129,0.637064637064637,4
"linear",200,0.47032159604928,0.502870232488832,0.502870232488832,0.502870232488832,0.502870232488832,0.739636910589758,6
"linear",200,0.587465986394558,0.580230592236895,0.580230592236895,0.573408363345338,0.542846138455382,0.612428971588635,6
"linear",200,0.756160473931089,0.731901716519664,0.734929809661288,0.727647680812773,0.755052573979206,0.73508636617819,1
"linear",300,0.82537091364626,0.623697249615779,0.778121197809938,0.757318715580174,0.746723112512807,0.872761710745389,6
"linear",500,0.88512569518131,0.889738068783571,0.886236285139096,0.890993170446806,0.892826318931834,0.618077064242204,5
"linear",1000,0.904218105452636,0.890804270106753,0.893367334183355,0.871563289082227,0.8883197079927,0.824380609515238,1
"linear",200,0.749329056097212,0.878546399909574,0.835943587696844,0.789429645167453,0.819280772143149,0.874582754416026,2
"linear",1000,0.773930977973974,0.750557186630726,0.760556495468883,0.740770735606555,0.792810213969683,0.852932780003185,6
"linear",1000,0.912540851470653,0.950218207855483,0.936813725294111,0.942637934965659,0.944724510082363,0.907324663687893,2
"linear",300,0.861999451892571,0.847196550523903,0.848226752443479,0.849251453284844,0.857324535608979,0.805015783093486,1
"radial",1000,0.75198182797366,NA,NA,NA,NA,0.811092932738207,6
"radial",200,0.622895770040668,0.702406929642668,0.670477789297713,0.551969306071274,0.666458705052161,0.72807059844722,6
"radial",500,0.621019283179219,NA,NA,NA,NA,0.885313480377014,6
"radial",500,0.472104928252194,0.544025729625323,0.498840933330726,0.576563085268496,0.615841229678726,0.723338834073702,6
"radial",500,0.515135540949637,0.65577192371825,0.7117599682699,0.636537574266241,0.626031531786761,0.638855611856696,3
"radial",200,0.515675659426939,0.667025718616832,0.676483218555996,0.607007739776324,0.567973186334363,0.684988097606782,6
"radial",200,0.547857898291829,0.545273311825663,0.545273311825663,0.545273311825663,0.545273311825663,0.821256376757497,6
"radial",500,0.527467934084145,0.558906059760552,0.650157581676136,0.648960130039232,0.70897169237013,0.744698660714286,6
"radial",500,0.798821493467163,NA,NA,NA,NA,0.897963139222982,6
"radial",500,0.683619330830855,0.67720926973139,0.67720926973139,0.67720926973139,0.67720926973139,0.697890768455776,6
"radial",500,0.656550972924701,0.661844592348755,0.661844592348755,0.661844592348755,0.661844592348755,0.887377808746911,6
